species,stressor,vuln,iucn_sid,src,map_f
brevoortia patronus,air_temp,0.11832,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,biomass_removal,0.66285,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,bycatch,0.39786,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,entanglement_macroplastic,0.10746,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,eutrophication_nutrient_pollution,0.28488,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,habitat_loss_degradation,0.12936,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,inorganic_pollution,0.31982,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,light_pollution,0.30698,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,marine_heat_waves,0.19201,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,noise_pollution,0.1892,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,ocean_acidification,0.0525,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,oceanographic,0.24351,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,organic_pollution,0.39678,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,plastic_pollution_microplastic,0.26627,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,poisons_toxins,0.33405,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,salinity,0.15209,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,sedimentation,0.3539,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,sst_rise,0.66285,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,storm_disturbance,0.1319,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,uv_radiation,0.13568,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
brevoortia patronus,wildlife_strike,0.12186,191208,iucn,species_ranges/iucn_spp_mol_191208.csv
chanos chanos,air_temp,0,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,biomass_removal,0.66503,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,bycatch,0.46393,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,entanglement_macroplastic,0.2155,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,eutrophication_nutrient_pollution,0.25482,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,habitat_loss_degradation,0.03966,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,inorganic_pollution,0.36344,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,light_pollution,0.31463,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,marine_heat_waves,0.19157,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,noise_pollution,0.18043,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,ocean_acidification,0.05937,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,oceanographic,0.15293,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,organic_pollution,0.47466,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,plastic_pollution_microplastic,0.2984,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,poisons_toxins,0.39068,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,salinity,0.04531,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,sedimentation,0.39085,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,sst_rise,0.66503,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,storm_disturbance,0.10202,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,uv_radiation,0.1726,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
chanos chanos,wildlife_strike,0.15066,60324,am,species_ranges/am_spp_mol_chanos_chanos.csv
clupea harengus,air_temp,0,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,biomass_removal,0.7014,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,bycatch,0.42,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,entanglement_macroplastic,0.14329,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,eutrophication_nutrient_pollution,0.28902,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,habitat_loss_degradation,0.04698,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,inorganic_pollution,0.40392,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,light_pollution,0.36722,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,marine_heat_waves,0.18502,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,noise_pollution,0.54526,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,ocean_acidification,0.06734,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,oceanographic,0.15866,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,organic_pollution,0.50205,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,plastic_pollution_microplastic,0.3443,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,poisons_toxins,0.35396,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,salinity,0.20576,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,sedimentation,0.38497,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,sst_rise,0.7014,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,storm_disturbance,0.22281,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,uv_radiation,0.17994,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
clupea harengus,wildlife_strike,0.13683,155123,iucn,species_ranges/iucn_spp_mol_155123.csv
engraulis japonicus,air_temp,0,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,biomass_removal,0.67098,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,bycatch,0.40178,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,entanglement_macroplastic,0.14636,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,eutrophication_nutrient_pollution,0.30454,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,habitat_loss_degradation,0.04742,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,inorganic_pollution,0.41446,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,light_pollution,0.38532,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,marine_heat_waves,0.18648,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,noise_pollution,0.22642,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,ocean_acidification,0.07096,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,oceanographic,0.22142,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,organic_pollution,0.51155,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,plastic_pollution_microplastic,0.35684,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,poisons_toxins,0.37298,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,salinity,0.22173,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,sedimentation,0.40565,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
engraulis japonicus,sst_rise,0.67098,98969433,iucn,species_ranges/iucn_spp_mol_98969433.csv
