common_name,scientific_name_cap,Scientific_name_lower,IUCN Status
Gulf menhaden,Brevoortia patronus,brevoortia patronus,LC
Milkfish,Chanos chanos,chanos chanos,LC
Atlantic herring,Clupea harengus,clupea harengus,LC
Japanese anchovy,Engraulis japonicus,engraulis japonicus,LC
Peruvian anchoveta,Engraulis ringens,engraulis ringens,LC
Atlantic cod,Gadus morhua,gadus morhua,VU
Skipjack tuna,Katsuwonus pelamis,katsuwonus pelamis,LC
Capelin,Mallotus villosus,mallotus villosus,LC
Rainbow trout,Oncorhynchus mykiss,oncorhynchus mykiss,LC
Atlantic salmon,Salmo salar,salmo salar,LC
European pilchard,Sardina pilchardus,sardina pilchardus,LC
Indian oil sardine,Sardinella longiceps,sardinella longiceps,LC
Chub mackerel,Scomber japonicus,scomber japonicus,LC
Atlantic mackerel,Scomber scombrus,scomber scombrus,LC
Yellowfin tuna,Thunnus albacares,thunnus albacares,LC
Largehead hairtail,Trichiurus lepturus,trichiurus lepturus,LC
