fid,eco_code,ecoregion,prov_code,province,rlm_code,realm,alt_code,eco_code_x,lat_zone,id
1,20192,Agulhas Bank,51,Agulhas,10,Temperate Southern Africa,189,192,Temperate,1
2,20053,Aleutian Islands,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,50,53,Temperate,1
3,20072,Amazonia,13,North Brazil Shelf,4,Tropical Atlantic,64,72,Tropical,1
4,20194,Amsterdam-St Paul,52,Amsterdam-St Paul,10,Temperate Southern Africa,191,194,Temperate,1
5,20228,Amundsen/Bellingshausen Sea,61,Continental High Antarctic,12,Southern Ocean,209,228,Polar,1
6,20109,Andaman and Nicobar Islands,24,Andaman,5,Western Indo-Pacific,105,109,Tropical,1
7,20110,Andaman Sea Coral Coast,24,Andaman,5,Western Indo-Pacific,106,110,Tropical,1
8,20223,Antarctic Peninsula,60,Scotia Sea,12,Southern Ocean,215,223,Polar,1
9,20090,Arabian (Persian) Gulf,19,Somali/Arabian,5,Western Indo-Pacific,92,90,Tropical,1
10,20178,Araucanian,45,Warm Temperate Southeastern Pacific,9,Temperate South America,172,178,Temperate,1
11,20140,Arnhem Coast to Gulf of Carpenteria,32,Sahul Shelf,6,Central Indo-Pacific,132,140,Tropical,1
12,20139,Arafura Sea,32,Sahul Shelf,6,Central Indo-Pacific,133,139,Tropical,1
13,20232,Auckland Island,62,Subantarctic New Zealand,12,Southern Ocean,227,232,Polar,1
14,20029,Azores Canaries Madeira,3,Lusitanian,2,Temperate Northern Atlantic,36,29,Temperate,1
15,25007,Baffin Bay - Davis Strait,1,Arctic,1,Arctic,1,7,Polar,1
16,20063,Bahamian,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,66,63,Tropical,1
17,20024,Baltic Sea,2,Northern European Seas,2,Temperate Northern Atlantic,29,24,Temperate,1
18,20131,Banda Sea,30,Western Coral Triangle,6,Central Indo-Pacific,120,131,Tropical,1
19,20205,Bassian,56,Southeast Australian Shelf,11,Temperate Australasia,197,205,Temperate,1
20,20011,Beaufort-Amundsen-Viscount Melville-Queen Maud,1,Arctic,1,Arctic,19,11,Polar,1
21,20012,Beaufort Sea - continental coast and shelf,1,Arctic,1,Arctic,18,12,Polar,1
22,20062,Bermuda,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,67,62,Tropical,1
23,20134,Bismarck Sea,31,Eastern Coral Triangle,6,Central Indo-Pacific,128,134,Tropical,1
24,20044,Black Sea,7,Black Sea,2,Temperate Northern Atlantic,41,44,Temperate,1
25,20141,Bonaparte Coast,32,Sahul Shelf,6,Central Indo-Pacific,134,141,Tropical,1
26,25230,Bounty and Antipodes Islands,62,Subantarctic New Zealand,12,Southern Ocean,228,230,Polar,1
27,20217,Bouvet Island,59,Subantarctic Islands,12,Southern Ocean,220,217,Polar,1
28,20231,Campbell Island,62,Subantarctic New Zealand,12,Southern Ocean,229,231,Polar,1
29,20204,Cape Howe,56,Southeast Australian Shelf,11,Temperate Australasia,198,204,Temperate,1
30,20079,Cape Verde,16,West African Transition,4,Tropical Atlantic,75,79,Tropical,1
31,20097,Cargados Carajos/Tromelin Island,20,Western Indian Ocean,5,Western Indo-Pacific,83,97,Tropical,1
32,25042,Carolinian,6,Warm Temperate Northwest Atlantic,2,Temperate Northern Atlantic,21,42,Temperate,1
