prob,cell_id
0.03,1431676
0.03,1431677
0.03,1431678
0.03,1431679
0.03,1435294
0.03,1435295
0.03,1435296
0.03,1435297
0.03,1438912
0.03,1438913
0.03,1438914
0.03,1438915
0.03,1442530
0.03,1442531
0.03,1442532
0.03,1442533
0.03,1442534
0.03,1446148
0.03,1446149
0.03,1446150
0.03,1446151
0.08,1449762
0.08,1449763
0.08,1449764
0.08,1449765
0.08,1453380
0.08,1453381
0.08,1453382
0.08,1453383
0.08,1453384
0.08,1456998
0.08,1456999
0.08,1457000
0.08,1457001
0.08,1457002
0.08,1460616
0.08,1460617
0.08,1460618
0.08,1460619
0.08,1460620
0.08,1464235
0.08,1464236
0.08,1464237
0.08,1464238
0.08,1467853
0.08,1467854
0.08,1467855
0.08,1467856
0.1,1449766
0.1,1449767
0.1,1449768
0.1,1449769
0.1,1453385
0.1,1453386
0.1,1453387
0.1,1457003
0.1,1457004
0.1,1457005
0.1,1460621
0.1,1460622
0.1,1460623
0.1,1460624
0.1,1464239
0.1,1464240
0.1,1464241
0.1,1464242
0.1,1467857
0.1,1467858
0.1,1467859
0.1,1467860
0.1,1471479
0.1,1471480
0.1,1475097
0.1,1475098
0.1,1478715
0.1,1482333
0.1,1482336
0.1,1485951
0.1,1485954
0.06,1471486
0.06,1475102
0.06,1475103
0.06,1478719
0.06,1478720
0.06,1478721
0.06,1478722
0.06,1482337
0.06,1482338
0.06,1482339
0.06,1482340
0.06,1485955
0.06,1485956
0.06,1485957
0.06,1485958
0.28,1489565
0.28,1489566
0.28,1489567
0.28,1489568
0.28,1493183
0.28,1493184
0.28,1493185
0.28,1493186
0.28,1496801
0.28,1496802
0.28,1496803
0.28,1496804
0.28,1500419
0.28,1500420
0.28,1500421
0.28,1500422
0.28,1504037
0.28,1504038
0.28,1504039
0.28,1504040
0.28,1507655
0.28,1507656
0.28,1507657
0.28,1507658
0.24,1489569
0.24,1489571
0.24,1489572
0.24,1493187
0.24,1493188
0.24,1493189
0.24,1493190
0.24,1496805
0.24,1496806
0.24,1496807
0.24,1496808
0.24,1500423
0.24,1500424
0.24,1500425
0.24,1500426
0.24,1504041
0.24,1504042
0.24,1504043
0.24,1504044
0.24,1507659
