prob,cell_id
0.01,175467
0.01,175468
0.01,179085
0.01,182702
0.01,182703
0.01,175469
0.01,179086
0.01,179087
0.01,182704
0.01,175470
0.01,175471
0.01,179088
0.01,182705
0.01,182706
0.01,175472
0.01,179089
0.01,179090
0.01,182707
0.01,175473
0.01,175474
0.01,179091
0.01,182708
0.01,182709
0.02,175475
0.02,179092
0.02,179093
0.02,182710
0.02,175476
0.02,175477
0.02,179094
0.02,182711
0.02,182712
0.02,175478
0.02,179095
0.02,179096
0.02,182713
0.02,182714
0.02,175479
0.02,175480
0.02,179097
0.02,179098
0.02,182715
0.01,175481
0.01,175482
0.01,179099
0.01,182716
0.01,182717
0.01,175483
0.01,179100
0.01,179101
0.01,182718
0.01,175484
0.01,175485
0.01,179102
0.01,182719
0.01,182720
0.01,186299
0.01,189916
0.01,189917
0.01,193533
0.01,193534
0.01,186300
0.01,186301
0.01,189918
0.01,193535
0.01,193536
0.01,186302
0.01,186303
0.01,189919
0.01,189920
0.01,193537
0.02,186304
0.02,189921
0.02,189922
0.02,193538
0.02,193539
0.02,186305
0.02,186306
0.02,189923
0.02,193540
0.02,186307
0.02,189924
0.02,189925
0.02,193541
0.02,193542
0.04,186308
0.04,186309
0.04,189926
0.04,193543
0.04,193544
0.1,186310
0.1,186311
0.1,189927
0.1,189928
0.1,193545
0.12,186312
0.12,189929
0.12,189930
0.12,193546
0.12,193547
0.13,186313
0.13,186314
0.13,189931
0.13,193548
0.13,193549
0.13,186315
0.13,189932
0.13,189933
0.13,193550
0.13,186316
0.13,186317
0.13,189934
0.13,193551
0.13,193552
0.13,186318
0.13,186319
0.13,189935
0.13,189936
0.13,193553
0.13,186320
0.13,189937
0.13,189938
0.13,193554
0.13,193555
0.12,186321
0.12,186322
0.12,189939
0.12,193556
0.12,193557
0.12,186323
0.12,189940
0.12,189941
0.12,193558
0.12,186324
0.12,186325
0.12,189942
0.12,193559
0.12,193560
0.13,186326
0.13,189943
0.13,189944
0.13,193561
0.13,193562
0.11,186327
0.11,186328
0.11,189945
0.11,189946
0.11,193563
0.1,186329
0.1,186330
0.1,189947
0.1,193564
0.1,193565
0.08,186331
0.08,189948
0.08,189949
0.08,193566
0.06,186332
0.06,186333
0.06,189950
0.06,193567
0.06,193568
0.02,186334
0.02,189951
0.02,189952
0.02,193569
0.02,193570
0.01,186335
0.01,186336
0.01,189953
0.01,189954
0.01,193571
0.01,186337
0.01,186338
0.01,189955
0.01,193572
0.01,193573
0.18,197152
0.18,197153
0.18,200769
0.18,200770
0.18,204387
0.18,208004
0.18,208005
0.41,197154
0.41,200771
0.41,200772
0.41,204388
0.41,204389
0.41,208006
0.6,197155
0.6,197156
0.6,200773
0.6,204390
0.6,204391
0.6,208007
0.6,208008
0.61,197157
0.61,197158
0.61,200774
0.61,200775
0.61,204392
0.61,208009
0.61,208010
0.57,197159
0.57,200776
0.57,200777
0.57,204393
0.57,204394
0.57,208011
0.52,197160
0.52,197161
0.52,200778
0.52,204395
0.52,204396
0.52,208012
0.52,208013
0.38,197162
0.38,197163
0.38,200779
0.38,200780
0.38,204397
0.38,208014
0.38,208015
0.34,197164
0.34,200781
0.34,200782
0.34,204398
0.34,204399
0.34,208016
0.23,197165
0.23,197166
0.23,200783
0.23,204401
0.15,197167
0.15,197168
0.15,200784
0.15,200785
0.15,204402
0.15,208020
0.2,197169
0.2,200786
0.2,200787
0.2,204403
0.2,204404
0.2,208021
0.31,197170
0.31,197171
0.31,200788
0.31,204405
0.31,204406
0.31,208023
0.3,197172
0.3,200789
0.3,200790
0.3,204407
0.3,208024
0.3,208025
0.3,197173
0.3,197174
0.3,200791
0.3,200792
0.3,204408
0.3,204409
0.3,208026
0.24,197175
0.24,197176
0.24,200793
0.24,204411
0.28,197177
0.28,200794
0.28,200795
0.28,204412
0.28,208029
0.28,208030
0.17,197178
0.17,197179
0.17,200796
0.17,200797
0.17,204413
0.17,204414
0.17,208031
0.17,208032
0.08,197182
0.08,200800
0.09,197183
0.09,197184
0.09,208037
0.07,197185
0.07,197186
0.07,200802
0.07,200803
0.07,204421
0.07,208038
0.05,197187
0.05,200804
0.05,200805
0.05,204422
0.05,208039
0.03,197188
0.03,197189
0.03,200806
0.03,204423
0.03,204424
0.03,208041
0.03,208042
0.01,204425
0.01,204426
0.01,208043
0.24,211621
0.24,211622
0.24,215238
0.24,215239
0.24,218856
0.79,211623
0.79,211624
0.79,215240
0.79,215241
0.79,218857
0.79,218858
0.72,211625
0.72,215242
0.72,215243
0.72,218859
0.72,218860
0.65,211626
0.65,211627
0.65,215244
0.65,218861
0.65,218862
0.58,211628
0.58,211629
0.58,215245
0.58,215246
0.58,218863
0.54,211630
0.54,215247
0.54,215248
0.54,218864
0.54,218865
0.51,211631
0.51,211632
0.51,215249
0.51,218866
0.51,218867
0.44,211633
0.44,215250
0.44,215251
0.44,218868
0.41,211635
0.41,215252
0.41,215253
0.41,218869
0.41,218870
0.09,211636
