prob,cell_id
0.28,NA
0.5,NA
0.04,737046
0.04,737047
0.04,737048
0.04,740665
0.04,740666
0.04,740667
0.1,733429
0.1,733430
0.1,733431
0.1,737049
0.1,737050
0.1,737051
0.1,740668
0.1,740669
0.1,740670
0.1,733432
0.1,733433
0.1,733434
0.1,733435
0.1,737052
0.1,737053
0.1,737054
0.1,740671
0.1,740672
0.1,740673
0.08,729818
0.08,729819
0.08,733436
0.08,733437
0.08,733438
0.08,737055
0.08,737056
0.08,737057
0.08,740674
0.08,740675
0.08,740676
0.06,729820
0.06,729821
0.06,729822
0.06,733439
0.06,733440
0.06,733441
0.06,737058
0.06,737059
0.06,737060
0.06,740677
0.06,740678
0.06,740679
0.02,733442
0.02,733443
0.02,733444
0.02,737061
0.02,737062
0.02,737063
0.02,740680
0.02,740681
0.02,740682
0.03,726312
0.03,726313
0.03,726314
0.03,726315
0.03,729932
0.03,729933
0.03,729934
0.03,733551
0.03,733552
0.03,733553
0.03,733554
0.03,737171
0.03,737172
0.03,737173
0.03,740790
0.03,740791
0.03,740792
0.01,726316
0.01,726317
0.01,726318
0.01,729935
0.01,729936
0.01,729937
0.01,733555
0.01,733556
0.01,733557
0.01,737174
0.01,737175
0.01,737176
0.01,740793
0.01,740794
0.01,740795
0.01,740796
0.1,756798
0.1,756799
0.04,749572
0.04,753186
0.04,753187
0.04,756800
0.04,756801
0.04,756802
0.04,745959
0.04,745960
0.04,749573
0.04,749574
0.04,749575
0.04,753188
0.04,753189
0.04,753190
0.04,756803
0.04,756804
0.04,756805
0.06,742349
0.06,745961
0.06,745964
0.06,749576
0.06,749577
0.06,749578
0.06,753191
0.06,753192
0.06,753193
0.06,756806
0.06,756807
0.06,756808
0.42,742350
0.42,742351
0.42,742352
0.42,745965
0.42,745966
0.42,745967
0.42,749579
0.42,749580
0.42,749581
0.42,753194
0.42,753195
0.42,756809
0.42,756810
0.42,756811
0.73,742353
0.73,742354
0.73,742355
0.84,753204
0.84,753205
0.84,753206
0.84,756819
0.84,756820
0.84,756821
0.86,749592
0.86,749593
0.86,749594
0.86,753207
0.86,753208
0.86,753209
0.86,756822
0.86,756823
0.86,756824
0.08,753210
0.08,756825
0.08,756826
0.08,756827
0.85,753214
0.85,753215
0.85,753216
0.85,756828
0.85,756829
0.85,756830
0.85,756831
0.82,753217
0.82,756833
0.02,744281
0.02,744282
0.02,744283
0.02,747900
0.02,747901
0.02,747902
0.02,751519
0.02,751520
0.02,751521
0.02,755138
0.02,755139
0.02,755140
0.02,758757
0.02,758758
0.02,758759
0.01,744290
0.01,744291
0.01,744292
0.01,747909
0.01,747910
0.01,747911
0.01,751528
0.01,751529
0.01,751530
0.01,751531
0.01,755148
0.01,755149
0.01,755150
0.01,758767
0.01,758768
0.01,758769
0.03,744293
0.03,744294
0.03,744295
0.03,747912
0.03,747913
0.03,747914
0.03,747915
0.03,751532
0.03,751533
0.03,751534
0.03,755151
0.03,755152
0.03,755153
0.03,758770
0.03,758771
0.03,758772
0.05,744296
0.05,744297
0.05,744298
0.05,744299
0.05,747916
0.05,747917
0.05,747918
0.05,751535
0.05,751536
0.05,751537
0.05,755154
0.05,755155
0.05,755156
0.05,758773
0.05,758774
0.05,758775
0.05,744300
0.05,744301
0.05,744302
0.05,747919
0.05,747920
0.05,747921
0.05,751538
0.05,751539
0.05,751540
0.05,755157
0.05,755158
0.05,755159
0.05,758776
0.05,758777
0.05,758778
0.01,744328
0.01,747947
0.01,751566
0.01,744391
0.01,744392
0.01,744393
0.01,748010
0.01,748011
0.01,748012
0.01,751630
0.01,751631
0.01,751632
0.01,755249
0.01,755250
0.01,755251
0.01,758868
0.01,758869
0.01,758870
0.01,758871
0.05,744394
0.05,744395
0.05,744396
0.05,748013
0.05,748014
0.05,748015
0.05,748016
0.05,751633
0.05,751634
0.05,751635
0.05,755252
0.05,755253
0.05,755254
0.05,758872
0.05,758873
0.05,758874
0.06,744397
0.06,744398
0.06,744399
0.06,748017
0.06,748018
0.06,748019
0.06,751636
0.06,751637
0.06,751638
0.06,755255
0.06,755256
0.06,755257
0.06,755258
0.06,758875
0.06,758876
0.06,758877
0.01,744419
0.01,744420
0.01,744421
0.01,748039
0.01,748040
0.01,748041
0.01,751658
0.01,751659
0.01,751660
0.01,755278
0.01,755279
0.01,755280
0.01,758897
0.01,758898
0.01,758899
0.01,760240
0.01,760241
0.01,760242
0.01,763854
0.01,763855
0.01,763856
0.01,767469
0.01,767470
0.01,767471
0.01,771083
0.01,771084
0.01,771085
0.01,771086
0.01,774698
0.01,774699
0.01,774700
0.02,760338
0.02,763953
0.02,767568
0.02,767569
0.02,771183
0.27,767640
0.27,767641
0.27,771254
0.27,771255
0.27,771256
0.27,774868
0.27,774869
0.27,774870
0.27,774871
0.02,760412
0.02,760413
0.02,760414
0.02,764027
0.02,764028
0.02,764029
0.02,767642
0.02,767643
0.02,767644
0.02,771257
0.02,771258
0.02,771259
0.02,774872
0.02,774873
0.02,774874
0.34,760418
0.34,760419
0.34,760420
0.34,764033
0.34,764034
0.56,760421
0.56,760423
0.84,760424
0.84,760425
0.84,760426
0.84,760427
0.96,760428
0.96,760429
0.09,764046
0.09,764047
0.09,764048
0.09,767661
0.09,767662
0.09,767663
0.09,771278
0.09,774891
0.09,774892
0.09,774893
1,760434
1,760435
1,760436
1,764049
1,764050
1,764051
1,767664
1,767665
1,767666
1,771279
1,771280
1,771281
1,774894
1,774895
1,774896
1,760437
1,760438
1,760439
1,764052
1,764053
1,764054
1,767667
1,767668
1,767669
1,771282
1,771283
1,771284
1,774897
1,774898
1,774899
1,760440
1,760441
1,760442
1,764055
1,764056
1,764057
1,764058
1,767670
1,767671
1,767672
1,767673
1,771285
1,771286
1,771287
1,771288
1,774900
1,774901
1,774902
1,774903
1,760443
1,760444
1,760445
1,760446
1,764059
1,764060
1,764061
1,767674
1,767675
1,767676
1,771289
1,771290
1,771291
1,774904
1,774905
1,774906
1,760447
1,764062
1,764063
1,764064
1,767677
1,767678
1,767679
1,771292
1,771293
1,771294
1,774907
1,774908
1,774909
0.96,767680
0.96,767681
0.96,771295
0.96,771296
0.96,771297
0.96,774910
0.96,774911
0.96,774912
0.01,762392
0.01,762393
0.01,762394
0.01,766011
0.01,766012
0.01,766013
0.01,766014
0.01,769630
0.01,769631
0.01,769632
0.01,769633
0.01,773250
0.01,773251
0.01,773252
0.01,776869
0.01,776870
0.01,776871
0.01,762395
0.01,762396
0.01,762397
0.01,762398
0.01,766015
0.01,766016
0.01,766017
0.01,769634
0.01,769635
0.01,769636
0.01,773253
0.01,773254
0.01,773255
0.01,776872
0.01,776873
0.01,776874
0.01,762421
0.01,762422
0.01,762423
0.01,766040
0.12,776923
0.12,776924
0.12,776925
0.12,776926
0.12,773308
0.12,773309
0.12,776927
0.12,776928
0.12,776929
0.11,773310
0.11,773311
0.11,773312
0.11,773313
0.11,776930
0.11,776931
0.11,776932
0.1,773314
0.1,773315
0.1,773316
0.1,776933
0.1,776934
0.1,776935
0.04,769708
0.04,769709
0.04,773327
0.04,773328
0.04,773329
0.04,776946
0.04,776947
0.04,776948
0.03,762474
0.03,766091
0.03,766092
0.03,766093
0.03,769710
0.03,769711
0.03,769712
0.03,769713
0.03,773330
0.03,773331
0.03,773332
0.03,776949
0.03,776950
0.03,776951
0.05,762475
0.05,762476
0.05,762477
0.05,766094
0.05,766095
0.05,766096
0.05,769714
0.05,769715
0.05,769716
0.05,773333
0.05,773334
0.05,773335
0.05,776952
0.05,776953
0.05,776954
0.08,762478
0.08,762479
0.08,762480
0.08,766097
0.08,766098
0.08,766099
0.08,766100
0.08,769717
0.08,769718
0.08,769719
0.08,773336
0.08,773337
0.08,773338
0.08,776955
0.08,776956
0.08,776957
0.08,776958
0.01,762523
0.01,762524
0.01,762525
0.01,766142
0.01,766143
0.01,766144
0.01,769762
0.01,769763
0.01,769764
0.01,773381
0.01,773382
0.01,773383
0.01,777000
0.01,777001
0.01,777002
0.01,777003
0.02,778313
0.02,778314
0.02,778315
0.02,781927
0.02,781928
0.02,781929
0.02,781930
0.02,785542
0.02,785543
0.02,785544
0.02,789157
0.02,789158
0.02,789159
0.02,778316
0.02,778317
0.02,778318
0.02,781931
0.02,781932
0.02,781933
0.02,785545
0.02,785546
0.02,785547
0.02,789160
0.02,789161
0.02,789162
0.01,778319
0.01,778320
0.01,778321
0.01,781934
0.01,781935
0.01,781936
0.01,785548
0.01,785549
0.01,785550
0.01,785551
0.01,789163
0.01,789164
0.01,789165
0.01,778322
0.01,778323
0.01,778324
0.01,778325
0.01,781937
0.01,781938
0.01,781939
0.01,785552
0.01,785553
0.01,785554
0.01,789166
0.01,789167
0.01,789168
0.01,789169
0.01,778417
0.01,778418
0.01,782031
0.01,782032
0.01,782033
0.01,785647
0.01,785648
0.01,789262
0.11,778419
0.11,778420
0.11,778421
0.11,782034
0.11,782035
0.11,785649
0.11,785650
0.11,785651
0.11,789263
0.11,789264
0.11,789265
0.11,789266
0.8,782095
0.8,782096
0.8,782097
0.8,785711
0.8,785712
0.8,789326
0.8,789327
0.82,778483
0.82,778484
0.82,778485
0.82,782098
0.82,782099
0.82,782100
0.82,785713
0.82,785714
0.82,785715
0.82,789328
0.82,789329
0.82,789330
0.55,778486
0.55,778487
0.55,778488
0.55,778489
0.55,782101
0.55,782102
0.55,782103
0.55,782104
0.55,785716
0.55,785717
0.55,785718
0.55,785719
0.55,789331
0.55,789332
0.55,789333
0.55,789334
0.83,778490
0.83,778491
0.83,782105
0.83,782106
0.83,785720
0.83,785721
0.83,789335
1,789348
1,789349
0.05,789353
1,778509
1,778510
1,778511
1,782124
1,782125
1,782126
1,785739
1,785740
1,785741
1,789354
1,789355
1,789356
1,778512
1,778513
1,778514
1,782127
1,782128
1,782129
1,785742
1,785743
1,785744
1,785745
1,789357
1,789358
1,789359
1,789360
1,778515
1,778516
1,778517
1,778518
1,782130
1,782131
1,782132
1,782133
1,785746
1,785747
1,785748
1,789361
1,789362
1,789363
1,778519
1,778520
1,778521
1,782134
1,782135
1,782136
1,785749
1,785750
1,785751
1,789364
1,789365
1,789366
1,778522
1,778523
1,778524
1,782137
1,782138
1,782139
1,785752
1,785753
1,785754
1,789367
1,789368
1,789369
1,778525
1,778526
1,778527
1,782140
1,782141
1,782142
1,785755
1,785756
1,785757
1,789370
1,789371
1,789372
1,789373
1,778528
1,778529
1,778530
1,778531
1,782143
1,782144
1,782145
1,782146
1,785758
1,785759
1,785760
1,785761
1,789374
1,789375
1,789376
1,778532
1,778533
1,782147
1,782148
1,785762
1,785763
1,785764
1,789377
1,789378
1,789379
1,785765
1,785766
1,789380
1,789381
1,789382
0.97,789384
0.97,789385
0.95,789386
0.95,789387
0.95,789388
0.95,789389
0.93,789390
0.93,789391
0.93,789392
0.91,789393
0.91,789394
0.9,NA
0.9,789399
0.9,789400
0.9,789401
0.88,789411
0.86,NA
0.03,791375
0.03,791376
0.06,791377
0.06,791379
0.06,791380
0.08,791381
0.08,791382
0.08,791383
0.09,787766
0.09,787767
0.09,791384
0.09,791385
0.09,791386
0.1,780532
0.1,784149
0.1,784150
0.1,784151
0.1,787768
0.1,787769
0.1,787770
0.1,791387
0.1,791388
0.1,791389
0.1,780533
0.1,780534
0.1,780535
0.1,784152
0.1,784153
0.1,784154
0.1,787771
0.1,787772
0.1,787773
0.1,791390
