prob,cell_id
0.04,410257
0.04,410258
0.04,413872
0.04,413873
0.04,413874
0.04,417488
0.04,417489
0.04,417490
0.04,421104
0.04,421105
0.05,410259
0.05,410260
0.05,413875
0.05,413876
0.05,417491
0.05,417492
0.05,421106
0.05,421107
0.05,421108
0.11,410261
0.11,410262
0.11,410263
0.11,413877
0.11,413878
0.11,413879
0.11,417493
0.11,417494
0.11,421109
0.11,421110
0.15,410264
0.15,410265
0.15,413880
0.15,413881
0.15,417495
0.15,417496
0.15,417497
0.15,421111
0.15,421112
0.15,421113
0.18,417504
0.17,410275
0.17,413890
0.17,413891
0.17,417505
0.17,417506
0.17,421121
0.17,421122
0.15,410276
0.15,410277
0.15,413892
0.15,413893
0.15,417507
0.15,417508
0.15,417509
0.15,421123
0.15,421124
0.15,421125
0.13,410278
0.13,410279
0.13,413894
0.13,417510
0.13,417511
0.13,421126
0.13,421127
0.12,417514
0.12,421128
0.12,421129
0.12,421130
0.11,417515
0.11,417516
0.11,421131
0.11,421132
0.1,NA
0.02,410621
0.02,410622
0.02,410623
0.02,414239
0.02,414240
0.02,417856
0.02,417857
0.02,421473
0.02,421474
0.02,421475
0.02,410686
0.02,410687
0.02,414303
0.02,414304
0.02,414305
0.02,417921
0.02,417922
0.02,421538
0.02,421539
0.02,421540
0.12,410688
0.12,410689
0.12,414306
0.12,414307
0.12,417923
0.12,417924
0.12,417925
0.12,421541
0.12,421542
0.02,410695
0.02,410696
0.02,414313
0.02,414314
0.02,417930
0.02,417931
0.02,417932
0.02,421548
0.02,421549
0.02,421550
0.01,410697
0.01,410698
0.01,410699
0.01,414315
0.01,414316
0.01,414317
0.01,417933
0.01,417934
0.01,421551
0.01,421552
0.02,410719
0.02,410720
0.02,414337
0.02,414338
0.02,417954
0.02,417955
0.02,417956
0.02,421572
0.02,421573
0.02,421574
0.24,410733
0.24,410734
0.24,410735
0.24,414351
0.24,414352
0.24,417969
0.24,417970
0.24,421587
0.24,421588
0.2,410738
0.2,410739
0.2,414356
0.2,414357
0.2,417974
0.2,417975
0.2,421592
0.2,421593
0.57,410740
0.57,410741
0.57,410742
0.57,414358
0.57,414359
0.57,414360
0.57,417976
0.57,417977
0.57,417978
0.57,421594
0.57,421595
0.61,410743
0.61,410744
0.61,414361
0.61,414362
0.61,417979
0.61,417980
0.61,421596
0.61,421597
0.61,421598
0.59,410745
0.59,410746
0.59,414363
0.59,414364
0.59,417981
0.59,417982
0.59,421599
0.59,421600
0.68,410747
0.68,410748
0.68,410749
0.68,414365
0.68,414366
0.68,414367
0.68,417983
0.68,417984
0.68,417985
0.68,421601
0.68,421602
0.68,421603
0.62,410750
0.62,410751
0.62,414368
0.62,414369
0.62,417986
0.62,417987
0.62,421604
0.62,421605
0.62,410752
0.62,410753
0.62,410754
0.62,414370
0.62,414371
0.62,414372
0.62,417988
0.62,417989
0.62,417990
0.62,421606
0.62,421607
0.61,410755
0.61,410756
0.61,414373
0.61,414374
0.61,417991
0.61,417992
0.61,421608
0.61,421609
0.61,421610
0.56,410757
0.56,410758
0.56,414375
0.56,414376
0.56,417993
0.56,417994
0.56,421611
0.56,421612
0.54,410759
0.54,410760
0.54,410761
0.54,414377
0.54,414378
0.54,414379
0.54,417995
0.54,417996
0.54,417997
0.54,421613
0.54,421614
0.54,421615
0.43,410762
0.43,410763
0.43,414380
0.43,414381
0.43,417998
0.43,417999
0.43,421616
0.43,421617
0.33,410764
0.33,410765
0.33,410766
0.33,414382
0.33,414383
0.33,414384
0.33,418000
0.33,418001
0.33,418002
0.33,421618
0.33,421619
0.33,421620
0.33,410767
0.33,410768
0.33,414385
0.33,414386
0.33,418003
0.33,418004
0.33,421621
0.33,421622
0.35,410769
0.35,410770
0.35,414387
0.35,414388
0.35,418005
0.35,418006
0.35,421623
0.35,421624
0.39,410771
0.39,410772
0.39,410773
0.39,414389
0.39,414390
0.39,414391
0.39,418007
0.39,418008
0.39,418009
0.39,421625
0.39,421626
0.39,421627
0.43,410774
0.43,410775
0.43,414392
0.43,414393
0.43,418010
0.43,418011
0.43,421628
0.43,421629
0.39,410776
0.39,414394
0.39,418012
0.39,421630
0.39,421631
0.33,421633
0.33,421634
0.3,421635
0.3,421636
0.03,421639
0.08,410794
0.08,414412
0.08,421649
0.07,410795
0.07,410796
0.07,410797
0.07,414413
0.07,414414
0.07,414415
0.07,418031
0.07,418032
0.07,418033
0.07,421650
0.07,421651
0.05,410798
0.05,410799
0.05,414416
0.05,414417
0.05,418034
0.05,418035
0.05,421652
0.05,421653
0.02,410800
0.02,410801
0.02,414418
0.02,414419
0.02,418036
0.02,418037
0.02,418038
0.02,421654
0.02,421655
0.02,421656
0.02,410807
0.02,410808
0.02,414425
0.02,414426
0.02,414427
0.02,418043
0.02,418044
0.02,418045
0.02,421662
0.02,421663
0.02,410809
0.02,410810
0.02,410811
0.02,414428
0.02,414429
0.02,418046
0.02,418047
0.02,421664
0.02,421665
0.02,410812
0.02,410813
0.02,414430
0.02,414431
0.02,418048
0.02,418049
0.02,418050
0.02,421666
0.02,421667
0.02,421668
0.02,410814
0.02,410815
0.02,410816
0.02,414432
0.02,414433
0.02,414434
0.02,418051
0.02,418052
0.02,421669
0.02,421670
0.02,410817
0.02,410818
0.02,414435
0.02,414436
0.02,418053
0.02,418054
0.02,421671
0.02,421672
0.02,421673
0.02,410819
0.02,410820
0.02,414437
0.02,414438
0.02,414439
0.02,418055
0.02,418056
0.02,418057
0.02,421674
0.02,421675
0.01,424652
0.01,424653
0.01,428268
0.01,428269
0.01,431883
0.01,431884
0.01,431885
0.01,435499
0.01,435500
0.01,424654
0.01,424655
0.01,424656
0.01,428270
0.01,428271
0.01,428272
0.01,431886
0.01,431887
0.01,435501
0.01,435502
0.01,435503
0.02,424720
0.02,424721
0.02,428336
0.02,428337
0.02,431952
0.02,431953
0.02,435567
0.02,435568
0.02,435569
0.03,424722
0.03,424723
0.03,424724
0.03,428338
0.03,428339
0.03,428340
0.03,431954
0.03,431955
0.03,431956
0.03,435570
0.03,435571
0.1,424725
0.1,424726
0.1,428341
0.1,428342
0.1,431957
0.1,431958
0.1,435572
0.1,435573
0.1,435574
0.2,424727
0.2,424728
0.2,424729
0.2,428343
0.2,428344
0.2,428345
0.2,431959
0.2,431960
0.2,435575
0.2,435576
0.23,424730
0.23,424731
0.23,428346
0.23,428347
0.23,431961
0.23,431962
0.23,431963
0.23,435577
0.23,435578
0.23,435579
0.25,428348
0.25,428349
0.25,431964
0.25,431965
0.25,435580
0.25,435581
0.25,424735
0.25,424736
0.25,428350
0.25,428351
0.25,428352
0.25,431966
0.25,431967
0.25,431968
0.25,435582
0.25,435583
0.25,435584
0.23,424737
0.23,424738
