prob,cell_id
0.52,1195335
0.52,1195336
0.52,1195337
0.52,1195338
0.52,1198952
0.52,1198953
0.52,1198954
0.52,1198955
0.52,1202569
0.52,1202570
0.52,1202571
0.52,1202572
0.52,1206186
0.52,1206187
0.52,1206188
0.52,1209802
0.52,1209803
0.52,1209804
0.52,1209805
0.51,1195339
0.51,1195340
0.51,1195341
0.51,1195342
0.51,1198956
0.51,1198957
0.51,1198958
0.51,1202573
0.51,1202574
0.51,1202575
0.51,1206189
0.51,1206190
0.51,1206191
0.51,1206192
0.51,1209806
0.51,1209807
0.51,1209808
0.51,1209809
0.5,1195343
0.5,1195344
0.5,1195345
0.5,1198959
0.5,1198960
0.5,1198961
0.5,1198962
0.5,1202576
0.5,1202577
0.5,1202578
0.5,1202579
0.5,1206193
0.5,1206194
0.5,1206195
0.5,1206196
0.5,1209810
0.5,1209811
0.5,1209812
0.5,1209813
0.51,1195346
0.51,1195347
0.51,1195348
0.51,1195349
0.51,1198963
0.51,1198964
0.51,1198965
0.51,1198966
0.51,1202580
0.51,1202581
0.51,1202582
0.51,1202583
0.51,1206197
0.51,1206198
0.51,1206199
0.51,1206200
0.51,1209814
0.51,1209815
0.51,1209816
0.51,1209817
0.51,1195350
0.51,1195351
0.51,1195352
0.51,1195353
0.51,1198967
0.51,1198968
0.51,1198969
0.51,1198970
0.51,1202584
0.51,1202585
0.51,1202586
0.51,1202587
0.51,1206201
0.51,1206202
0.51,1206203
0.51,1206204
0.51,1209818
0.51,1209819
0.51,1209820
0.51,1209821
0.51,1195354
0.51,1195355
0.51,1195356
0.51,1195357
0.51,1198971
0.51,1198972
0.51,1198973
0.51,1198974
0.51,1202588
0.51,1202589
0.51,1202590
0.51,1202591
0.51,1206205
0.51,1206206
0.51,1206207
0.51,1206208
0.51,1209822
0.51,1209823
0.51,1209824
0.51,1209825
0.51,1195358
0.51,1195359
0.51,1195360
0.51,1195361
0.51,1198975
0.51,1198976
0.51,1198977
0.51,1198978
0.51,1202592
0.51,1202593
0.51,1202594
0.51,1202595
0.51,1206209
0.51,1206210
0.51,1206211
0.51,1206212
0.51,1209826
0.51,1209827
0.51,1209828
0.51,1209829
0.51,1195362
0.51,1195363
0.51,1195364
0.51,1195365
0.51,1198979
0.51,1198980
0.51,1198981
0.51,1198982
0.51,1202596
0.51,1202597
0.51,1202598
0.51,1202599
0.51,1206213
0.51,1206214
0.51,1206215
0.51,1209830
0.51,1209831
0.51,1209832
0.5,1195366
0.5,1195367
0.5,1195368
0.5,1195369
0.5,1198983
0.5,1198984
0.5,1198985
0.5,1202600
0.5,1202601
0.5,1202602
0.5,1206216
0.5,1206217
0.5,1206218
0.5,1206219
0.5,1209833
0.5,1209834
0.5,1209835
0.5,1209836
0.5,1195370
0.5,1195371
0.5,1195372
0.5,1198986
0.5,1198987
0.5,1198988
0.5,1198989
0.5,1202603
0.5,1202604
0.5,1202605
0.5,1202606
0.5,1206220
0.5,1206221
0.5,1206222
0.5,1206223
0.5,1209837
0.5,1209838
0.5,1209839
0.5,1209840
0.48,1195373
0.48,1195374
0.48,1195375
0.48,1195376
0.48,1198990
0.48,1198991
0.48,1198992
0.48,1198993
0.48,1202607
0.48,1202608
0.48,1202609
0.48,1202610
0.48,1206224
0.48,1206225
0.48,1206226
0.48,1206227
0.48,1209841
0.48,1209842
0.48,1209843
0.48,1209844
0.43,1195377
0.43,1195378
0.43,1195379
0.43,1195380
0.43,1198994
0.43,1198995
0.43,1198996
0.43,1198997
0.43,1202611
0.43,1202612
0.43,1202613
0.43,1202614
0.43,1206228
0.43,1206229
0.43,1206230
0.43,1206231
0.43,1209845
0.43,1209846
0.43,1209847
0.43,1209848
0.41,1195381
0.41,1195382
0.41,1195383
0.41,1195384
0.41,1198998
0.41,1198999
0.41,1199000
0.41,1199001
0.41,1202615
0.41,1202616
0.41,1202617
0.41,1202618
0.41,1206232
0.41,1206233
0.41,1206234
0.41,1206235
0.41,1209849
0.41,1209850
0.41,1209851
0.41,1209852
0.41,1195385
0.41,1195386
0.41,1195387
0.41,1195388
0.41,1199002
0.41,1199003
0.41,1199004
0.41,1199005
0.41,1202619
0.41,1202620
0.41,1202621
0.41,1202622
0.41,1206236
0.41,1206237
0.41,1206238
0.41,1206239
0.41,1209853
0.21,1195389
0.21,1195390
0.21,1195391
0.21,1195392
0.21,1199006
0.21,1199007
0.21,1199008
0.21,1199009
0.21,1202623
0.21,1202624
0.21,1202625
0.21,1202626
0.21,1206240
0.21,1206241
0.21,1206242
0.08,1195393
0.08,1195394
0.08,1195395
0.08,1195396
0.08,1199010
0.08,1199011
0.08,1199012
0.08,1202627
0.08,1202628
0.08,1202629
0.44,1195397
0.44,1195398
0.44,1195399
0.44,1199013
0.44,1199014
0.44,1199015
0.44,1199016
0.44,1202630
0.44,1202631
0.44,1202632
0.44,1202633
0.44,1206248
0.44,1206249
0.44,1206250
0.44,1209865
0.44,1209866
0.44,1209867
0.13,1195400
0.13,1195401
0.13,1195402
0.13,1195403
0.13,1199017
0.13,1199018
0.13,1199019
0.13,1199020
0.13,1202634
0.13,1202635
0.13,1202636
0.13,1202637
0.13,1206251
0.13,1206252
0.13,1206253
0.13,1206254
0.13,1209868
0.13,1209869
0.13,1209870
0.13,1209871
0.45,1195404
0.45,1195405
0.45,1195406
0.45,1195407
0.45,1199021
0.45,1199022
0.45,1199023
0.45,1199024
0.45,1202638
0.45,1202639
0.45,1202640
0.45,1202641
0.45,1206255
0.45,1206256
0.45,1206257
0.45,1206258
0.45,1209872
0.45,1209873
0.45,1209874
0.45,1209875
0.14,1206259
0.14,1206260
0.53,1213427
0.53,1213428
0.53,1213429
0.53,1213430
0.53,1217044
0.53,1217045
0.53,1217046
0.53,1217047
0.53,1220661
0.53,1220662
0.53,1220663
0.53,1220664
0.53,1224278
0.53,1224279
0.53,1224280
0.53,1224281
0.53,1227895
0.53,1227896
0.53,1227897
0.53,1227898
0.53,1231512
0.53,1231513
0.53,1231514
0.53,1231515
0.52,1213431
0.52,1213432
0.52,1213433
0.52,1213434
0.52,1217048
0.52,1217049
0.52,1217050
0.52,1217051
0.52,1220665
0.52,1220666
0.52,1220667
0.52,1220668
0.52,1224282
0.52,1224283
0.52,1224284
0.52,1224285
0.52,1227899
0.52,1227900
0.52,1227901
0.52,1227902
0.52,1231516
0.52,1231517
0.52,1231518
0.52,1213435
0.52,1213436
0.52,1213437
0.52,1213438
0.52,1217052
0.52,1217053
0.52,1217054
0.52,1217055
0.52,1220669
0.52,1220670
0.52,1220671
0.52,1220672
0.52,1224286
0.52,1224287
0.52,1224288
0.52,1227903
0.52,1227904
0.52,1227905
0.52,1231519
0.52,1231520
0.52,1231521
0.52,1231522
0.52,1213439
0.52,1213440
0.52,1213441
0.52,1213442
0.52,1217056
0.52,1217057
0.52,1217058
0.52,1217059
0.52,1220673
0.52,1220674
0.52,1220675
0.52,1224289
0.52,1224290
0.52,1224291
0.52,1224292
0.52,1227906
0.52,1227907
0.52,1227908
0.52,1227909
0.52,1231523
0.52,1231524
0.52,1231525
0.52,1231526
0.52,1213443
0.52,1213444
0.52,1213445
0.52,1217060
0.52,1217061
0.52,1217062
0.52,1220676
0.52,1220677
0.52,1220678
0.52,1220679
0.52,1224293
0.52,1224294
0.52,1224295
0.52,1224296
0.52,1227910
0.52,1227911
0.52,1227912
0.52,1227913
0.52,1231527
0.52,1231528
0.52,1231529
0.52,1231530
0.52,1213446
0.52,1213447
0.52,1213448
0.52,1213449
0.52,1217063
0.52,1217064
0.52,1217065
0.52,1217066
0.52,1220680
0.52,1220681
0.52,1220682
0.52,1220683
0.52,1224297
0.52,1224298
0.52,1224299
0.52,1224300
0.52,1227914
0.52,1227915
0.52,1227916
0.52,1227917
0.52,1231531
0.52,1231532
0.52,1231533
0.52,1231534
0.52,1213450
0.52,1213451
0.52,1213452
0.52,1213453
0.52,1217067
0.52,1217068
0.52,1217069
0.52,1217070
0.52,1220684
0.52,1220685
0.52,1220686
0.52,1220687
0.52,1224301
0.52,1224302
0.52,1224303
0.52,1224304
0.52,1227918
0.52,1227919
0.52,1227920
0.52,1227921
0.52,1231535
0.52,1231536
0.52,1231537
0.52,1231538
0.52,1213454
0.52,1213455
0.52,1213456
0.52,1213457
0.52,1217071
0.52,1217072
0.52,1217073
0.52,1217074
0.52,1220688
0.52,1220689
0.52,1220690
0.52,1220691
0.52,1224305
0.52,1224306
0.52,1224307
0.52,1224308
0.52,1227922
0.52,1227923
0.52,1227924
0.52,1227925
0.52,1231539
0.52,1231540
0.52,1231541
0.52,1231542
0.51,1213458
0.51,1213459
0.51,1213460
0.51,1213461
0.51,1217075
0.51,1217076
0.51,1217077
0.51,1217078
0.51,1220692
0.51,1220693
0.51,1220694
0.51,1220695
0.51,1224309
0.51,1224310
0.51,1224311
0.51,1224312
0.51,1227926
0.51,1227927
0.51,1227928
0.51,1227929
0.51,1231543
0.51,1231544
0.51,1231545
0.51,1231546
0.45,1213462
0.45,1213463
0.45,1213464
0.45,1213465
0.45,1217079
0.45,1217080
0.45,1217081
0.45,1217082
0.45,1220696
0.45,1220697
0.45,1220698
0.45,1220699
0.45,1224313
0.45,1224314
0.45,1224315
0.45,1224316
