cell_id,presence
739669,1
739670,1
739671,1
739672,1
739673,1
739674,1
743284,1
743285,1
743286,1
743287,1
743288,1
743289,1
743290,1
743291,1
743292,1
743293,1
746899,1
746900,1
746901,1
746902,1
746903,1
746904,1
746905,1
746906,1
746907,1
746908,1
746909,1
746910,1
746911,1
750515,1
750516,1
750517,1
750518,1
750519,1
750520,1
750521,1
750522,1
750523,1
750524,1
750525,1
750526,1
750527,1
750528,1
750529,1
754131,1
754132,1
754133,1
754134,1
754135,1
754136,1
754137,1
754138,1
754139,1
754140,1
754141,1
754142,1
754143,1
754144,1
754145,1
754146,1
754147,1
757748,1
757749,1
757750,1
757751,1
757752,1
757753,1
757754,1
757755,1
757756,1
757757,1
757758,1
757759,1
757760,1
757761,1
757762,1
757763,1
757764,1
761363,1
761364,1
761365,1
761366,1
761367,1
761368,1
761369,1
761370,1
761371,1
761372,1
761373,1
761374,1
761375,1
761376,1
761377,1
761378,1
761379,1
761380,1
761381,1
761382,1
764979,1
764980,1
764981,1
764982,1
764983,1
764984,1
764985,1
764986,1
764987,1
764988,1
764989,1
764990,1
764992,1
764993,1
764994,1
764995,1
764996,1
764997,1
764998,1
764999,1
768596,1
768597,1
768598,1
768599,1
768600,1
768601,1
768602,1
768603,1
768604,1
768605,1
768608,1
768609,1
768610,1
768611,1
768612,1
768613,1
768614,1
768615,1
768616,1
772212,1
772213,1
772214,1
772215,1
772216,1
772217,1
772218,1
772219,1
772220,1
772222,1
772224,1
772225,1
772226,1
772227,1
772228,1
772229,1
772230,1
772231,1
772232,1
772233,1
772234,1
775829,1
775830,1
775831,1
775832,1
775833,1
775834,1
775835,1
775836,1
775839,1
775841,1
775842,1
775843,1
775844,1
775845,1
775846,1
775847,1
775848,1
775849,1
775850,1
775851,1
779443,1
779444,1
779445,1
779446,1
779447,1
779448,1
779449,1
779450,1
779451,1
779452,1
779453,1
779454,1
779456,1
779457,1
779458,1
779459,1
779460,1
779461,1
779462,1
779463,1
779464,1
779465,1
779466,1
779467,1
779468,1
783057,1
783058,1
783059,1
783060,1
783061,1
783062,1
783063,1
783064,1
783065,1
783066,1
783067,1
783068,1
783069,1
783070,1
783071,1
783074,1
783075,1
783076,1
783077,1
783078,1
783079,1
783080,1
783081,1
783082,1
783083,1
783084,1
783085,1
786671,1
786672,1
786673,1
786674,1
786675,1
786676,1
786677,1
786678,1
786679,1
786680,1
786681,1
786682,1
786683,1
786684,1
786685,1
786686,1
786687,1
786688,1
786689,1
786691,1
786692,1
786693,1
786694,1
786695,1
786696,1
786697,1
786698,1
786699,1
786700,1
786701,1
786702,1
790287,1
790288,1
790289,1
790290,1
790291,1
790292,1
790293,1
790294,1
790295,1
790296,1
790297,1
790298,1
790299,1
790300,1
790301,1
790302,1
790303,1
790304,1
790305,1
790306,1
790308,1
790309,1
790310,1
790311,1
790312,1
790313,1
790314,1
790315,1
790316,1
790317,1
790318,1
790319,1
790320,1
793892,1
793893,1
793894,1
793895,1
793896,1
793902,1
793903,1
793904,1
793905,1
793906,1
793907,1
793908,1
793909,1
793910,1
793911,1
793912,1
793913,1
793914,1
793915,1
793916,1
793917,1
793918,1
793919,1
793920,1
793921,1
793922,1
793923,1
793924,1
793925,1
793926,1
793927,1
793928,1
793929,1
793930,1
793931,1
793932,1
793933,1
793934,1
793935,1
793936,1
793937,1
797507,1
797508,1
797509,1
797510,1
797511,1
797512,1
797513,1
797514,1
797517,1
797518,1
797519,1
797520,1
797521,1
797522,1
797523,1
797524,1
797525,1
797526,1
797527,1
797528,1
797529,1
797530,1
797531,1
797532,1
797533,1
797534,1
797535,1
797536,1
797537,1
797538,1
797539,1
797540,1
797541,1
797542,1
797543,1
797544,1
797545,1
797546,1
797547,1
797548,1
797549,1
797550,1
797551,1
797552,1
797553,1
797554,1
797618,1
797619,1
801123,1
801124,1
801125,1
801126,1
801127,1
801128,1
801129,1
801130,1
801131,1
801132,1
801133,1
801134,1
801135,1
801136,1
801137,1
801138,1
801139,1
801140,1
801141,1
801142,1
801143,1
801144,1
801145,1
801146,1
801147,1
801148,1
801149,1
801150,1
801151,1
801152,1
801153,1
801154,1
801155,1
801156,1
801157,1
801158,1
801159,1
801160,1
801161,1
801162,1
801163,1
801164,1
801165,1
801166,1
801167,1
801168,1
801169,1
801170,1
801171,1
801172,1
801235,1
804739,1
804740,1
804741,1
804742,1
804743,1
804744,1
804745,1
804746,1
804747,1
804748,1
804749,1
804750,1
804751,1
804752,1
804753,1
804754,1
804755,1
804756,1
804757,1
804758,1
804759,1
804760,1
804761,1
804762,1
804763,1
804764,1
804765,1
804766,1
804767,1
804768,1
804769,1
804770,1
804771,1
804772,1
804773,1
804774,1
804775,1
804776,1
804777,1
804778,1
804779,1
804780,1
804781,1
804782,1
804783,1
804784,1
804785,1
804786,1
804787,1
804788,1
804789,1
804851,1
804924,1
804925,1
804926,1
804927,1
804928,1
804929,1
804930,1
804931,1
804932,1
804933,1
804934,1
804935,1
808355,1
808356,1
808357,1
808358,1
808359,1
808360,1
808361,1
808362,1
808363,1
808364,1
808365,1
808366,1
808367,1
808368,1
808369,1
808370,1
808371,1
808372,1
808373,1
808374,1
808375,1
808376,1
808377,1
808378,1
808379,1
808380,1
808381,1
808382,1
808383,1
808384,1
808385,1
808386,1
808387,1
808388,1
808389,1
808390,1
808391,1
808392,1
808393,1
808394,1
808395,1
808396,1
808397,1
808398,1
808399,1
808400,1
808401,1
808402,1
808403,1
808404,1
808405,1
808406,1
808407,1
808536,1
808537,1
808538,1
808539,1
808540,1
808541,1
808542,1
808543,1
808544,1
808545,1
808546,1
808547,1
808548,1
808549,1
808550,1
808551,1
808552,1
808553,1
811972,1
811973,1
811974,1
811975,1
811976,1
811977,1
811978,1
811979,1
811980,1
811981,1
811982,1
811983,1
811984,1
811985,1
811986,1
811987,1
811988,1
811989,1
811990,1
811991,1
811992,1
811993,1
811994,1
811995,1
811996,1
811997,1
811998,1
811999,1
812000,1
812001,1
812002,1
812003,1
812004,1
812005,1
812006,1
812007,1
812008,1
812009,1
812010,1
812011,1
812012,1
812013,1
812014,1
812015,1
812016,1
812017,1
812018,1
812019,1
812020,1
812021,1
812022,1
812023,1
812024,1
812086,1
812149,1
812150,1
812151,1
812152,1
812153,1
812154,1
812155,1
812156,1
812157,1
812158,1
812159,1
812160,1
812161,1
812162,1
812163,1
812164,1
812165,1
812166,1
812167,1
812168,1
812169,1
812170,1
812171,1
815589,1
815590,1
815591,1
815592,1
815593,1
815594,1
815595,1
815596,1
815597,1
815598,1
815599,1
815600,1
815601,1
815602,1
815603,1
815604,1
815605,1
815606,1
815607,1
815608,1
815609,1
815610,1
815611,1
815612,1
815613,1
815614,1
815615,1
815616,1
815617,1
815618,1
815619,1
815620,1
815621,1
815622,1
815623,1
815624,1
815625,1
815626,1
815627,1
815628,1
815629,1
815630,1
815631,1
815632,1
815633,1
815634,1
815635,1
815636,1
815637,1
815638,1
815639,1
815640,1
815641,1
815703,1
815704,1
815763,1
815764,1
815765,1
815766,1
815767,1
815768,1
815769,1
815770,1
815771,1
815772,1
815773,1
815774,1
815775,1
815776,1
815777,1
815778,1
815779,1
815780,1
815781,1
815782,1
815783,1
815784,1
815785,1
815786,1
815787,1
815788,1
815789,1
819205,1
819206,1
819207,1
819208,1
819209,1
819210,1
819211,1
819212,1
819213,1
819214,1
819215,1
819216,1
819217,1
819218,1
819219,1
819220,1
819221,1
819222,1
819223,1
819224,1
819225,1
819226,1
819227,1
819228,1
819229,1
819230,1
819231,1
819232,1
819233,1
819235,1
819236,1
819237,1
819238,1
819239,1
819240,1
819241,1
819242,1
819243,1
819244,1
819245,1
819246,1
819247,1
819248,1
819249,1
819250,1
819251,1
819252,1
819253,1
819254,1
819255,1
819256,1
819257,1
819258,1
819259,1
819321,1
819378,1
819379,1
819380,1
819381,1
819382,1
819383,1
819384,1
819385,1
819386,1
819387,1
819388,1
819389,1
819390,1
819391,1
819392,1
819393,1
819394,1
819395,1
819396,1
819397,1
819398,1
819399,1
819400,1
819401,1
819402,1
819403,1
819404,1
819405,1
819406,1
822817,1
822818,1
822819,1
822822,1
822823,1
822824,1
822825,1
822826,1
822827,1
822828,1
822829,1
822830,1
822831,1
822832,1
822833,1
822834,1
822835,1
822836,1
822837,1
822838,1
822839,1
822840,1
822841,1
822842,1
822843,1
822844,1
822845,1
