cell_id,therm_prs
1195335,0
1195336,0
1195337,0
1195338,0
1195339,0
1195340,0
1195341,0
1195342,0
1195343,0
1195344,0
1195345,0
1195346,0
1195347,0
1195348,0
1195349,0
1195350,0
1195351,0
1195352,0
1195353,0
1195354,0
1195355,0
1195356,0
1195357,0
1195358,0
1195359,0
1195360,0
1195361,0
1195362,0
1195363,0
1195364,0
1195365,0
1195366,0
1195367,0
1195368,0
1195369,0
1195370,0
1195371,0
1195372,0
1198952,0
1198953,0
1198954,0
1198955,0
1198956,0
1198957,0
1198958,0
1198959,0
1198960,0
1198961,0
1198962,0
1198963,0
1198964,0
1198965,0
1198966,0
1198967,0
1198968,0
1198969,0
1198970,0
1198971,0
1198972,0
1198973,0
1198974,0
1198975,0
1198976,0
1198977,0
1198978,0
1198979,0
1198980,0
1198981,0
1198982,0
1198983,0
1198984,0
1198985,0
1198986,0
1198987,0
1198988,0
1198989,0
1202569,0
1202570,0
1202571,0
1202572,0
1202573,0
1202574,0
1202575,0
1202576,0
1202577,0
1202578,0
1202579,0
1202580,0
1202581,0
1202582,0
1202583,0
1202584,0
1202585,0
1202586,0
1202587,0
1202588,0
1202589,0
1202590,0
1202591,0
1202592,0
1202593,0
1202594,0
1202595,0
1202596,0
1202597,0
1202598,0
1202599,0
1202600,0
1202601,0
1202602,0
1202603,0
1202604,0
1202605,0
1202606,0
1206186,0
1206187,0
1206188,0
1206189,0
1206190,0
1206191,0
1206192,0
1206193,0
1206194,0
1206195,0
1206196,0
1206197,0
1206198,0
1206199,0
1206200,0
1206201,0
1206202,0
1206203,0
1206204,0
1206205,0
1206206,0
1206207,0
1206208,0
1206209,0
1206210,0
1206211,0
1206212,0
1206213,0
1206214,0
1206215,0
1206216,0
1206217,0
1206218,0
1206219,0
1206220,0
1206221,0
1206222,0
1206223,0
1209802,0
1209803,0
1209804,0
1209805,0
1209806,0
1209807,0
1209808,0
1209809,0
1209810,0
1209811,0
1209812,0
1209813,0
1209814,0
1209815,0
1209816,0
1209817,0
1209818,0
1209819,0
1209820,0
1209821,0
1209822,0
1209823,0
1209824,0
1209825,0
1209826,0
1209827,0
1209828,0
1209829,0
1209830,0
1209831,0
1209832,0
1209833,0
1209834,0
1209835,0
1209836,0
1209837,0
1209838,0
1209839,0
1209840,0
1213427,0
1213428,0
1213429,0
1213430,0
1213431,0
1213432,0
1213433,0
1213434,0
1213435,0
1213436,0
1213437,0
1213438,0
1213439,0
1213440,0
1213441,0
1213442,0
1213443,0
1213444,0
1213445,0
1213446,0
1213447,0
1213448,0
1213449,0
1213450,0
1213451,0
1213452,0
1213453,0
1213454,0
1213455,0
1213456,0
1213457,0
1213458,0
1213459,0
1213460,0
1213461,0
1217044,0
1217045,0
1217046,0
1217047,0
1217048,0
1217049,0
1217050,0
1217051,0
1217052,0
1217053,0
1217054,0
1217055,0
1217056,0
1217057,0
1217058,0
1217059,0
1217060,0
1217061,0
1217062,0
1217063,0
1217064,0
1217065,0
1217066,0
1217067,0
1217068,0
1217069,0
1217070,0
1217071,0
1217072,0
1217073,0
1217074,0
1217075,0
1217076,0
1217077,0
1217078,0
1220661,0
1220662,0
1220663,0
1220664,0
1220665,0
1220666,0
1220667,0
1220668,0
1220669,0
1220670,0
1220671,0
1220672,0
1220673,0
1220674,0
1220675,0
1220676,0
1220677,0
1220678,0
1220679,0
1220680,0
1220681,0
1220682,0
1220683,0
1220684,0
1220685,0
1220686,0
1220687,0
1220688,0
1220689,0
1220690,0
1220691,0
1220692,0
1220693,0
1220694,0
1220695,0
1224278,0
1224279,0
1224280,0
1224281,0
1224282,0
1224283,0
1224284,0
1224285,0
1224286,0
1224287,0
1224288,0
