cell_id,therm_prs
3317780,1
3317781,1
3317782,1
3317783,1
3317784,1
3317785,1
3317786,1
3317787,1
3317788,1
3321396,1
3321397,1
3321398,1
3321399,1
3321400,1
3321401,1
3321402,1
3321403,1
3321404,1
3321405,1
3321406,1
3321407,1
3325012,1
3325013,1
3325014,1
3325015,1
3325016,1
3325017,1
3325018,1
3325019,1
3325020,1
3325021,1
3328628,1
3328629,1
3328630,1
3328631,1
3328632,1
3328633,1
3328634,1
3328635,1
3328636,1
3328637,1
3328638,1
3332245,1
3332246,1
3332247,1
3332248,1
3332249,1
3332250,1
3332251,1
3332252,1
3332253,1
3332254,1
3332255,1
3335862,1
3335863,1
3335864,1
3335865,1
3335866,1
3335867,1
3335868,1
3335869,1
3335870,1
3335871,1
3335872,1
3335873,1
3339479,1
3339480,1
3339481,1
3339482,1
3339483,1
3339484,1
3339485,1
3339486,1
3339487,1
3339488,1
3339489,1
3339490,1
3339491,1
3343096,1
3343097,1
3343098,1
3343099,1
3343100,1
3343101,1
3343102,1
3343103,1
3343104,1
3343105,1
3343106,1
3343107,1
3343108,1
3346713,1
3346714,1
3346715,1
3346716,1
3346717,1
3346718,1
3346719,1
3346720,1
3346721,1
3346722,1
3346723,1
3346724,1
3350331,1
3350332,1
3350333,1
3350334,1
3350335,1
3350336,1
3350337,1
3350338,1
3350339,1
3350340,1
3350341,1
3353948,1
3353949,1
3353950,1
3353951,1
3353952,1
3353953,1
3353954,1
3353955,1
3353956,1
3353957,1
3353958,1
3357566,1
3357567,1
3357568,1
3357569,1
3357570,1
3357571,1
3357572,1
3357573,1
3357574,1
3357575,1
3361183,1
3361184,1
3361185,1
3361186,1
3361187,1
3361188,1
3361189,1
3361190,1
3361191,1
3361192,1
3361193,1
3364800,1
3364801,1
3364802,1
3364803,1
3364804,1
3364805,1
3364806,1
3364807,1
3364808,1
3364809,1
3364810,1
3368416,1
3368417,1
3368418,1
3368419,1
3368420,1
3368421,1
3368422,1
3368423,1
3368424,1
3368425,1
3368426,1
3368427,1
3372033,1
3372034,1
3372035,1
3372036,1
3372037,1
3372038,1
3372039,1
3372040,1
3372041,1
3372042,1
3372043,1
3372044,1
3375650,1
3375651,1
3375652,1
3375653,1
3375654,1
3375655,1
3375656,1
3375657,1
3375658,1
3375659,1
3375660,1
3379267,1
3379268,1
3379269,1
3379270,1
3379271,1
3379272,1
3379273,1
3379274,1
3379275,1
3379276,1
3382884,1
3382885,1
3382886,1
3382887,1
3382888,1
3382889,1
3382890,1
3382891,1
3382892,1
3382893,1
3386501,1
3386502,1
3386503,1
3386504,1
3386505,1
3386506,1
3386507,1
3386508,1
3386509,1
3386510,1
3386511,1
3390119,1
3390120,1
3390121,1
3390122,1
3390123,1
3390124,1
3390125,1
3390126,1
3390127,1
3390128,1
3390129,1
3390130,1
3393736,1
3393737,1
3393738,1
3393739,1
3393740,1
3393741,1
3393742,1
3393743,1
3393744,1
3393745,1
3393746,1
3393747,1
3393748,1
3393753,1
3393755,1
3393756,1
3397353,1
3397354,1
3397355,1
3397356,1
3397357,1
3397358,1
3397359,1
3397360,1
3397361,1
3397362,1
3397363,1
3397364,1
3397365,1
3397366,1
3397369,1
3397370,1
3397371,1
3397372,1
3400971,1
3400972,1
3400973,1
3400974,1
3400975,1
3400976,1
3400977,1
3400978,1
3400979,1
3400980,1
3400981,1
3400982,1
3400983,1
3400984,1
3400986,1
3400989,1
3400990,1
3404589,1
3404590,1
3404591,1
3404592,1
3404593,1
3404594,1
3404595,1
3404596,1
3404597,1
3404598,1
3404599,1
3404600,1
3404601,1
3404602,1
3404606,1
3408206,1
3408207,1
3408208,1
3408209,1
3408210,1
3408211,1
3408212,1
3408213,1
3408214,1
3408215,1
3408216,1
3408217,1
3408218,1
3408219,1
3408222,1
3408223,1
3411824,1
3411825,1
3411826,1
3411827,1
3411828,1
3411829,1
3411830,1
3411831,1
3411832,1
3411833,1
3411834,1
3411835,1
3411836,1
3411839,1
3411840,1
3415442,1
3415443,1
3415444,1
3415445,1
3415446,1
3415447,1
3415448,1
3415449,1
3415450,1
3415451,1
3415452,1
3415455,1
3415456,1
3415457,1
3419059,1
3419060,1
3419061,1
3419062,1
3419063,1
3419064,1
3419065,1
3419066,1
3419067,1
3419068,1
3419069,1
3419070,1
3419071,1
3419072,1
3419073,1
3419074,1
3422676,1
3422677,1
3422678,1
3422679,1
3422680,1
3422681,1
3422682,1
3422683,1
3422684,1
3422685,1
3422686,1
3422687,1
3422688,1
3422689,1
3422690,1
3426292,1
3426293,1
3426294,1
3426295,1
3426296,1
3426297,1
3426298,1
3426299,1
3426300,1
3426301,1
3426302,1
3426303,1
3426304,1
3426305,1
3426306,1
3426307,1
3429908,0.91426
3429909,1
3429910,1
3429911,1
3429912,1
3429913,1
3429914,1
3429915,1
3429916,1
3429917,1
3429918,1
3429919,1
3429920,1
3429921,1
3429922,1
3433525,0.91788
3433526,1
3433527,1
3433528,1
3433529,1
3433530,1
3433531,1
3433532,1
3433533,1
3433534,1
3433535,1
3433536,1
3433537,1
3433538,1
3437141,0.79884
3437142,0.88756
3437143,1
3437144,1
3437145,1
3437146,1
3437147,1
3437148,1
3437149,1
3437150,1
3437151,1
3437152,1
3437153,1
3440757,0.69216
3440758,0.76712
3440759,0.85857000000000006
3440760,1
3440761,1
3440762,1
3440763,1
3440764,1
3440765,1
3440766,1
3440767,1
3440768,1
3440769,1
3444374,0.65106
3444375,0.72489
3444376,0.81597
3444377,0.95402
3444378,1
3444379,1
3444380,1
3444381,1
3444382,1
3444383,1
3444384,1
3444385,1
3447990,0.56266
3447991,0.61919
3447992,0.6928
3447993,0.79081
3447994,0.93378
3447995,1
3447996,1
3447997,1
3447998,1
3447999,1
3448000,1
3448001,1
3451607,0.52876
3451608,0.5822
3451609,0.65336
3451610,0.75098
3451611,0.8826
3451612,1
3451613,1
3451614,1
3451615,1
3451616,1
3451617,1
3451618,1
3455223,0.47507
3455224,0.50331
3455225,0.55452
3455226,0.63515
3455227,0.73414
3455228,0.86313
3455229,1
3455230,1
3455231,1
3455232,1
3455233,1
3455234,1
3458840,0.44819
3458841,0.47586
3458842,0.52476
3458843,0.60487
3458844,0.69186
3458845,0.81675
3458846,0.98524
3458847,1
3458848,1
3458849,1
3458850,1
3462457,0.41506
3462458,0.4515
3462459,0.4919
3462460,0.55489
3462461,0.62795
3462462,0.73769
3462463,0.90374
3462464,1
3462465,1
3462466,1
3462467,1
3466074,0.3875
3466075,0.4219
3466076,0.45398
3466077,0.49444
3466078,0.56203
3466079,0.65416
3466080,0.79497
3466081,0.99825
3466082,1
3466083,1
3469690,0.34844
3469691,0.36443
3469692,0.38225
3469693,0.40627
3469694,0.42542
3469695,0.47213
3469696,0.5456
3469697,0.6529
3469698,0.83422
3469699,1
3473307,0.32608
3473308,0.32662
3473309,0.33461
3473310,0.36069
3473311,0.37101
3473312,0.40224
3473313,0.45545
3473314,0.52378
3473315,0.67642
3473316,1
3476924,0.30619
3476925,0.29222
3476926,0.29173
3476927,0.31211
3476928,0.31414
3476929,0.33445
3476930,0.36755
3476931,0.38918
3476932,0.45922
3476933,0.66479
3480541,0.28771
3480542,0.26441
3480543,0.25186
3480544,0.26019
3480545,0.25545
3480546,0.26264
3480547,0.27553
3480548,0.25058
3480549,0.2377
3484158,0.27501
3484159,0.24391
3484160,0.21293
3484161,0.21254
3484162,0.205
3484163,0.19627
3484164,0.1933
3484165,0.14688
3484166,0.08176
3484167,0.11058
3487775,0.26222
3487776,0.2185
3487777,0.17523
3487778,0.17293
3487779,0.15753
3487780,0.13097
3487781,0.10628
3487782,0.05545
3487783,0
3491392,0.25216
3491393,0.20717
3491394,0.16003
3491395,0.14064
3491396,0.11792
3491397,0.08126
3491398,0.04158
3491399,0
3491400,0
3491401,0
3495009,0.24701
3495010,0.20697
3495011,0.16709
3495012,0.12719
3495013,0.09605
3495014,0.0555
3495015,0.00499
3495016,0
3495017,0
3495018,0
3498627,0.20885
3498628,0.1755
3498629,0.12231
3498630,0.07805
3498631,0.03942
3498632,0
3498633,0
3498634,0
3498635,0
3498636,0
3502244,0.21242
3502245,0.16772
3502246,0.10637
3502247,0.05128
3502248,0.01598
3502249,0
3502250,0
3502251,0
3502252,0
3502253,0.00438
3502254,0.65355
3505861,0.21371
3505862,0.15313
3505863,0.09275
3505864,0.03664
3505865,0
